,E13VBetn02s01r1,E13VBetn02s01r2,E13VBetn02s01r3,E13VBetn02s01r4
2006,168.015,117.447,128.9,149.397
2007,297.858,358.183,369.441,379.602
2008,184.168,209.826,210.325,237.144
2009,241.647,214.302,222.474,258.021
2010,135.817,136.528,206.542,286.942
2011,51.168,71.383,113.064,136.879
2012,5.853,5.072,13.939,47.199
2013,64.608,52.919,129.809,187.089
2014,141.041,112.682,88.398,169.929
2015,56.49,37.321,18.704,61.611
2016,89.13,53.799,66.808,33.717
2017,31.126,47.191,24.012,132.64
2018,295.204,190.267,321.146,430.179
2019,204.617,164.404,176.181,258.029
2020,143.313,97.475,77.739,173.869
